group,n_users,n_test_ratings,Real RBM (B1 only)_RMSE,Existing personality (leniency)_RMSE,Naive learned bias_RMSE,Extremity channel (5c)_RMSE,PC1-combined channel (18)_RMSE
generous,236,43090,1.1907169240301023,0.9085089130701673,0.8226324047887023,0.8610255937801194,0.9085089130701673
strict,145,34176,1.2730842728985041,1.3010229174504089,1.3233013433155305,1.8013558451496914,1.2870047177917026
middle,4619,955041,0.9153186947886911,0.8848957910179251,0.8996606404662311,1.158159054514711,0.9089900074290719
all,5000,1032307,0.942304880176309,0.9027305783661173,0.9137993136985918,1.1744397159007522,0.923963521754317
