model,RMSE,MAE
Real RBM (B1 only),0.942304880176309,0.753672362290384
Existing personality (leniency),0.9027305783661173,0.6969576212855358
Naive learned bias,0.9137993136985918,0.714819464785375
Extremity channel (5c),1.1744397159007522,0.9110262744250763
PC1-combined channel (18),0.923963521754317,0.7183044750638813
