unit,top_genre,top_genre_enrichment,genre_enrichment_all,year_skew,top_genome_tags,top_user_tags
40,Mystery,4.831,"{'Mystery': 4.830900493421052, 'Musical': 2.7584621404813143, 'Thriller': 1.862827571019599, 'Drama': 1.14634067015213}",-1.0,"[('good', -0.132), ('awesome', -0.125), ('great movie', -0.124), ('excellent', -0.124), ('great', -0.123), ('saturn award (best science fiction film)', -0.122), ('very good', -0.119), ('quotable', -0.115), ('original plot', -0.114), ('brilliant', -0.113)]","['stupid', 'bd-r', 'revenge', 'bad sequel', 'sequel']"
41,War,3.571,"{'War': 3.5705964290236794, 'Sci-Fi': 1.9981929311719373, 'Musical': 1.9777653082696216, 'Animation': 1.9631692543340526}",-1.7,"[('secrets', 0.039), ('chase', 0.037), ('assassination', 0.036), ('nudity (topless)', -0.036), ('atmospheric', 0.035), ('finnish', -0.035), ('good acting', 0.035), ('culture clash', 0.034), ('black and white', 0.034), ('very good', 0.034)]","['animation', 'movie business', 'bgab lrc', 'jan harlan', 'documentary']"
42,Animation,5.655,"{'Animation': 5.654781004331782, 'Fantasy': 2.2290118577075098, 'Adventure': 1.770334327421127, 'Action': 1.5278620659759852}",5.2,"[('good', -0.123), ('great', -0.107), ('great movie', -0.107), ('very good', -0.101), ('good acting', -0.094), ('story', -0.093), ('oscar winner', -0.093), ('excellent', -0.09), ('original plot', -0.09), ('great ending', -0.09)]","['classical music', 'bruno bozzetto', 'legenda pt-br', 'revenge', 'samurai']"
43,Western,4.45,"{'Western': 4.450284090909091, 'Fantasy': 2.3303305785123967, 'Adventure': 1.8508040695766328, 'Sci-Fi': 1.8051856594110116}",1.5,"[('good', 0.239), ('great', 0.226), ('great movie', 0.225), ('very good', 0.217), ('excellent', 0.206), ('good acting', 0.195), ('original plot', 0.193), ('oscar winner', 0.187), ('great ending', 0.187), ('awesome', 0.183)]","['nudity (topless)', 'mark ruffalo', 'wrestling', 'bennett miller', 'academy award nominee']"
44,War,4.301,"{'War': 4.300945698596705, 'Horror': 1.9287912989944593, 'Romance': 1.4691446792547205, 'Adventure': 1.3881030521824744}",-0.9,"[('great', 0.055), ('great movie', 0.051), ('good', 0.05), ('dialogue', 0.047), ('documentary', -0.047), ('great ending', 0.045), ('oscar winner', 0.045), ('excellent', 0.043), ('very good', 0.042), ('underrated', 0.041)]","['less than 300 ratings', 'serial killer', 'netflix', 'middle east', 'prostitution']"
45,Animation,2.89,"{'Animation': 2.890221402214022, 'War': 2.628355704697986, 'Horror': 1.768058690744921, 'Drama': 1.6940367681137032}",-1.6,"[('product placement', -0.05), ('better than expected', -0.048), ('pg-13', -0.048), ('plot', -0.047), ('best of 2005', -0.046), ('disappointing', -0.042), ('watch the credits', -0.042), ('dark hero', -0.041), ('unlikeable characters', -0.038), ('graphic novel', -0.036)]","['calista flockhart', 'cameron diaz', 'glenn close', 'holly hunter', 'kathy baker']"
46,Sci-Fi,1.727,"{'Sci-Fi': 1.7266993263931416, 'Adventure': 1.3277507455658453, 'Drama': 1.3257679054802896, 'Thriller': 1.2823812988903036}",3.9,"[('good', 0.199), ('very good', 0.186), ('great movie', 0.174), ('great', 0.171), ('excellent', 0.17), ('good acting', 0.153), ('oscar winner', 0.153), ('great ending', 0.149), ('original plot', 0.145), ('interesting', 0.138)]","['nudity (full frontal - notable)', 'nudity (topless)', 'criterion', 'bisexual', 'directorial debut']"
47,Documentary,4.919,"{'Documentary': 4.919397048047734, 'Comedy': 1.9753672547772758, 'Sci-Fi': 1.2915149433184474, 'Horror': 1.0349611848262952}",-0.4,"[('great', -0.129), ('great movie', -0.128), ('saturn award (best science fiction film)', -0.121), ('oscar winner', -0.12), ('good', -0.115), ('saturn award (best special effects)', -0.115), ('quotable', -0.11), ('awesome', -0.109), ('very good', -0.108), ('brilliant', -0.108)]","['betamax', 'less than 300 ratings', 'depressing', 'stylized', 'frank miller']"
48,Western,4.554,"{'Western': 4.553779069767442, 'Crime': 2.1017441860465116, 'Horror': 1.9736469105989816, 'Mystery': 1.7076671511627906}",-4.4,"[('good', -0.108), ('great', -0.099), ('very good', -0.098), ('great movie', -0.097), ('original plot', -0.093), ('excellent', -0.089), ('oscar winner', -0.089), ('good acting', -0.087), ('quotable', -0.087), ('great ending', -0.085)]","['atmospheric', 'reflective', 'criterion', 'shakespeare', 'adapted from:play']"
49,IMAX,6.936,"{'IMAX': 6.935678268355676, 'Documentary': 2.5748333485526436, 'Musical': 2.2302459859210626, 'Fantasy': 2.181586073500967}",6.4,"[('good', -0.192), ('very good', -0.189), ('great movie', -0.187), ('great', -0.178), ('excellent', -0.172), ('good acting', -0.157), ('oscar winner', -0.155), ('interesting', -0.151), ('great ending', -0.15), ('great acting', -0.148)]","['video game adaptation', 'black and white', 'the melancholy of resistance', 'giant stuffed whale', 'magnetic powers']"
50,Crime,2.317,"{'Crime': 2.317307692307692, 'Mystery': 1.8828125, 'Horror': 1.632054176072235, 'Drama': 1.2286420515989496}",2.1,"[('good', -0.178), ('very good', -0.163), ('great movie', -0.16), ('great', -0.16), ('excellent', -0.149), ('great ending', -0.146), ('good acting', -0.14), ('oscar winner', -0.138), ('clever', -0.132), ('great acting', -0.131)]","['social commentary', 'oppl', 'based on a book', 'brazil', 'fantastic foreign films']"
51,Fantasy,1.753,"{'Fantasy': 1.7527272727272727, 'Horror': 1.632054176072235, 'Action': 1.4416749750747757, 'Comedy': 1.4376933274414494}",-5.0,"[('good', -0.236), ('great movie', -0.211), ('great', -0.208), ('very good', -0.206), ('excellent', -0.198), ('good acting', -0.179), ('oscar winner', -0.167), ('great acting', -0.165), ('great ending', -0.163), ('underrated', -0.161)]","['college', 'based on a book', 'gritty', 'matthew broderick', 'predictable']"
52,War,2.253,"{'War': 2.2528763183125595, 'Romance': 1.8469247396345057, 'Comedy': 1.4833343854554635, 'Adventure': 1.4542031975244971}",7.8,"[('very good', -0.117), ('good', -0.111), ('cool', -0.1), ('awesome', -0.099), ('original plot', -0.097), ('good acting', -0.096), ('entertaining', -0.094), ('great movie', -0.094), ('exciting', -0.094), ('excellent', -0.093)]","['based on a book', 'comedy', 'bittersweet', 'england', 'biography']"
